127.0.0.1 - - [02/Mar/2024:20:38:21 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:22 +0700] "GET /DoAnWeb/DangKy.jsp HTTP/1.1" 200 6440
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:22 +0700] "GET /DoAnWeb/assets/img/vietnam.png HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:22 +0700] "GET /DoAnWeb/assets/css/style.css HTTP/1.1" 200 10471
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:22 +0700] "GET /DoAnWeb/assets/img/united-states.png HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:22 +0700] "GET /DoAnWeb/assets/js/script.js HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:28 +0700] "GET /DoAnWeb/DangNhap.jsp HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 29856
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/fonts/boxicons.css HTTP/1.1" 200 85227
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/css/core.css HTTP/1.1" 200 433058
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/apex-charts/apex-charts.css HTTP/1.1" 200 18321
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/css/demo.css HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 200 5008
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/css/theme-default.css HTTP/1.1" 200 27597
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/js/config.js HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/js/helpers.js HTTP/1.1" 200 34161
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/img/avatars/1.png HTTP/1.1" 200 14015
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/jquery/jquery.js HTTP/1.1" 200 327896
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/popper/popper.js HTTP/1.1" 200 26152
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/js/bootstrap.js HTTP/1.1" 200 355868
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 200 45705
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/js/menu.js HTTP/1.1" 200 26481
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/apex-charts/apexcharts.js HTTP/1.1" 200 502408
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/js/main.js HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/js/dashboards-analytics.js HTTP/1.1" 200 15189
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:41 +0700] "GET /DoAnWeb/assetsforadmin/vendor/fonts/boxicons/boxicons.woff2 HTTP/1.1" 200 115680
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:42 +0700] "GET /DoAnWeb/assetsforadmin/img/favicon/favicon.ico HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 34226
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/css/templatemo.css HTTP/1.1" 200 5656
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/css/bootstrap.min.css HTTP/1.1" 200 153111
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/css/custom.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/css/fontawesome.min.css HTTP/1.1" 200 59356
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/css/Translate.css HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/js/custom.js HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/img/Banner1.jpg HTTP/1.1" 200 67644
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/img/Banner2.jpg HTTP/1.1" 200 1605753
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 80821
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/js/templatemo.js HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/js/countdown.js HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/js/Translate.js HTTP/1.1" 200 10693
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/img/Banner4.jpg HTTP/1.1" 200 370265
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/img/Coffee1black.jpg HTTP/1.1" 200 95328
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/img/Coffee2milk.jpg HTTP/1.1" 200 96990
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/img/MilkTea1.jpg HTTP/1.1" 200 43292
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [02/Mar/2024:20:38:55 +0700] "GET /DoAnWeb/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 78460
